# <switch> <length>
0064 55
0065 17
0066 3
0067 37
0072 19
007D 2
007E 6
0085 5
0089 7
008C 0
0090 7
0094 6
0096 0
009B 5
009F 6
00A2 6
00A7 8
00A9 6
00AB 4
00B2 3
00B8 7
00B9 6
00BB 5
00BF 3
00C1 2
00C5 7
00C8 0
00C9 36
00CF 27
00D0 3
00D3 2
00D5 0
00D9 14
00DE 0
00E0 30
00E2 26
00E3 2
00E4 6
00E6 3
00E8 8
00EB 2
00ED 2
00EF 2
00F3 8
00F5 8
00F7 2
00FC 6
00FF 10
0100 2
0102 6
0103 30
0108 0
0112 4
0113 10
0116 10
0118 2
011B 20
011D 2
0126 8
0127 8
0128 8
0129 8
012A 2
012E 2
012F 0
0130 6
0134 12
0143 10
0146 6
0149 7
014D 2
014F 6
0151 6
0155 16
0157 6
0159 54
015B 54
0161 44
0168 14
016B 10
016E 186
0170 14
0172 10
0178 4
017A 4
017C 6
017E 0
0180 6
0183 10
0187 6
018A 4
018E 10
0190 90
0193 6
019F 6
01A1 3
01A5 30
01A7 4
01A9 6
01AF 4
01B2 85
01C3 -1
01D5 -1
01DB 2
01DD 47
01E7 2
01FD 4
0202 26
0208 14
#AB70 -
0217 2
0218 2
023B 36
01E8 28
