# <switch> <length>
0069 0
006A 23
006B -
006C -
006E 2
0071 28
0073 11
0075 11
0077 4
0078 54
0079 53
007A 4
007B 60
007C 41
007F 6
0080 7
0081 3
0087 12
0088 10
0089 2
008A 29
008D 0
008E 0
008F 4
0091 22
0092 28
0093 2
0095 30
0096 43
0097 0
0098 3
009A 0
009C 9
009D 17
009E 17
00A0 23
00A1 6
00A3 0
00A4 0
00A5 0
00A6 0
00A8 7
00AA 7
00AC 7
00AF 6
00B0 8
00B1 8
00B3 3
00B4 0
00B5 6
00B6 6
00B7 0
00BC 6
00BD 44
00BE 5
00C0 7
00C1 4
00C2 6
00C3 8
00C4 6
00C6 0
00C7 0
00CA 3
00CB 3
00D1 4
00D2 4
00D3 2
00D6 3
00D7 0
00D8 6
00DA 3
00DB 0
00DC 28
00DD 29
00DF 0
00E1 30
00E4 34
00E5 26
00E7 3
00E9 19
00EA 5
00EC 3
00EE 2
00F0 3
00F2 6
00F4 21
00F6 8
00F8 2
00FA 3
00FB 0
00FD 27
00FE 30
0100 4
0101 6
0104 79
0105 31
0106 10
0107 10
0108 8
0109 0
010A 4
010B 6
010C 6
010E 11
010F 0
0110 10
0111 39
0114 31
0115 16
0117 18
0119 13
011A 15
011C 68
011E 3
011F 16
0120 6
0121 14
0122 0
0123 0
0124 21
0125 8
012C 26
012D 4
0131 86
0132 6
0133 0
0135 7
0136 0
0137 6
0139 16
013A 4
013B 4
013C 4
013D 6
013E 24
0141 14
0145 19
0147 39
0148 8
014A 6
014B 27
014C 0
014E 6
0150 110
0152 0
0154 0
0156 0
015A 66
015C 90
0160 0
0162 0
0163 0
0166 0
0167 3
0169 3
016A 30
016C 43
016D 14
016F 182
0171 30
0173 3
0174 0
0177 0
0179 5
017B 0
017D 7
017F 0
0180 11
0181 3
0182 106
0183 15
0184 10
0185 34
0187 6
0188 8
018A 3
018B 4
018C 29
018E 97
0191 86
0192 24
0194 30
0195 102
0196 9
019A 14
019B 10
019E 9
01A0 3
01A2 35
01A3 5
01A4 11
01A6 0
01AA 10
01AB 12
01AC 6
01AD 0
01B0 11
01B1 15
01B3 67
01B5 18
01B6 114
01B9 6
01C4 22
01C5 22
01C8 13
01C9 97
01D0 8
01D1 14
01D2 10
01D6 12
01D7 11
01D8 54
01D9 53
01DA 60
01DC 0
01DE 33
01E1 8
01E9 81
01EB 10
01EE 0
01EF 0
01F0 0
01F2 20 
01F4 7
